(324, 1077, 393, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(325, 1168, 453, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(326, 914, 100, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(327, 1123, 380, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(328, 1872, 62, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(329, 1204, 460, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(330, 1113, 54, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(331, 1153, 388, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(332, 409, 86, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(333, 1044, 483, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(334, 1126, 446, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(335, 400, 85, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(336, 1018, 429, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(337, 1317, 155, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(338, 181, 86, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(339, 1020, 429, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(340, 867, 31, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(341, 410, 120, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(342, 379, 93, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(343, 1062, 400, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(344, 1213, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(345, 197, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(346, 833, 78, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(347, 1066, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(348, 181, 85, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(349, 1081, 68, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(350, 1030, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(351, 1119, 427, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(352, 383, 91, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(353, 379, 78, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(354, 212, 164, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(355, 1352, 143, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(356, 1062, 425, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(357, 670, 40, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(358, 1146, 418, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(359, 1104, 374, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(360, 399, 83, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(361, 28, 176, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(362, 209, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(363, 1049, 408, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(364, 1078, 430, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(365, 1165, 45, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(366, 1078, 956, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(367, 1050, 438, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(368, 1165, 45, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(369, 416, 90, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(370, 1192, 646, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(371, 1034, 519, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(372, 403, 80, [1, 2, 0], [0, 16, 32], [16, 32, 32])
